тип	уровень	фраза	наш перевод	переводы Wiktionary	сверка перевода	буквально	наше определение	определение Wiktionary	сверка определения	пример	перевод примера	пример подтверждён	замечания
phrasal	B2	get by	обходиться, перебиваться	справляться; справиться	РАЗОШЁЛСЯ	взять мимо	to manage with what you have	To subsist; to succeed, survive, or manage, at least at a minimal level.	совпал	I get by.	Я справляюсь.	нет	перевод расходится с Wiktionary: справляться; справиться; пример не подтверждён переводом — проверить значение
phrasal	B2	give away	отдавать даром; выдавать (секрет)	спалить; выдать	совпал	дать прочь	to give something without asking for money	To make a gift of (something).	РАЗОШЁЛСЯ	Don't give away my secret.	Не выдавай никому моего секрета.	да	определение Wiktionary про другое значение: To make a gift of (something).
phrasal	B2	go through	переживать (трудное); просматривать		нечем	идти сквозь	to experience something difficult	To travel from one end of something to the other.	РАЗОШЁЛСЯ	He's going through hard times.	Он переживает трудные времена.	да	определение Wiktionary про другое значение: To travel from one end of something to the other.
phrasal	B2	keep up with	успевать за, поспевать		нечем	держать вверх с	to move or learn as fast as others	To manage to remain beside or just behind someone or something that is moving away from one.	РАЗОШЁЛСЯ	Supply can't keep up with demand.	Предложение не успевает за спросом.	да	определение Wiktionary про другое значение: To manage to remain beside or just behind someone or something that is moving away from one.
phrasal	B2	live up to	оправдывать (ожидания)	оправдывать; оправдать	совпал	жить вверх к	to be as good as expected	To fulfil the expectations placed upon one.	совпал	She lived up to our expectations.	Она оправдала наши ожидания.	да	
phrasal	B2	make up for	компенсировать, возмещать	составлять; составить; компенсировать; возмещать; навёрстывать	совпал	делать вверх для	to do something good to balance something bad	To constitute, to compose. To constitute the components of a whole.	РАЗОШЁЛСЯ	We'll make up for the loss.	Мы возместим убытки.	да	определение Wiktionary про другое значение: To constitute, to compose. To constitute the components of a whole.
phrasal	B2	stand up for	заступаться за		нечем	стоять вверх за	to defend a person or an idea	To speak or act in support or defense of (a person, a cause, a belief, or the like).	совпал	Thanks for standing up for me.	Спасибо, что заступился за меня.	да	
phrasal	B2	stand out	выделяться	выделяться; выделиться	совпал	стоять наружу	to be easy to notice	To jut out, protrude (from a surface etc.).	РАЗОШЁЛСЯ	I want to stand out more.	Я хочу ещё больше выделиться.	да	определение Wiktionary про другое значение: To jut out, protrude (from a surface etc.).
phrasal	B2	take over	брать управление на себя	брать на себя; взять на себя; приобрести; аннексировать; захватить	совпал	взять над	to take control of something	To assume control of something, such as a business or enterprise, and sometimes by force.	совпал	Take over.	Принимай командование.	нет	пример не подтверждён переводом — проверить значение
phrasal	B2	turn out	оказаться, выйти в итоге	оказываться; оказаться; посещать; присутствовать; выпускать	совпал	повернуть наружу	to happen in a particular way	To end up; to result.	РАЗОШЁЛСЯ	It turned out true.	Это оказалось правдой.	да	определение Wiktionary про другое значение: To end up; to result.
phrasal	B2	count on	рассчитывать на	рассчитывать; рассчитать	совпал	считать на	to depend on someone	To rely on, trust, or expect.	РАЗОШЁЛСЯ	Count on me.	Рассчитывай на меня.	да	определение Wiktionary про другое значение: To rely on, trust, or expect.
phrasal	B2	bring in	приносить (доход); привлекать	вносить; ввозить; внести; ввезти; вводить	РАЗОШЁЛСЯ	принести внутрь	to earn money	To move something indoors, or into an area.	РАЗОШЁЛСЯ	Her job brings in a high income.	Его работа приносит высокий доход.	да	определение Wiktionary про другое значение: To move something indoors, or into an area.; перевод расходится с Wiktionary: вносить; ввозить; внести; ввезти
phrasal	B2	call for	требовать, предусматривать		нечем	звать для	to need something	To shout out in order to summon (a person).	РАЗОШЁЛСЯ	Call for help.	Позови на помощь.	нет	определение Wiktionary про другое значение: To shout out in order to summon (a person).; пример не подтверждён переводом — проверить значение
phrasal	B2	come down with	заболевать (простудой)	слечь; свалиться	РАЗОШЁЛСЯ	прийти вниз с	to catch a common illness	To develop symptoms or signs of (an illness).	совпал	I feel like I'm coming down with something.	Мне кажется, я заболеваю.	да	перевод расходится с Wiktionary: слечь; свалиться
phrasal	B2	cut off	отрезать; отключать	отрезать; изолировать; перебивать; прерывать; перебить	совпал	резать прочь	to stop the supply of something	To remove by cutting.	РАЗОШЁЛСЯ	Cut off the power.	Отключи электричество.	да	определение Wiktionary про другое значение: To remove by cutting.
phrasal	B2	draw up	составлять (документ, план)	чертить; начертить	РАЗОШЁЛСЯ	тянуть вверх	to prepare a written plan	To compose (a document), especially following a standard form; prepare a plan.	совпал	Tonight, we had fun drawing up our family tree together.	Сегодня вечером мы развлекались тем, что составляли своё семейное генеалогическое древо.	да	перевод расходится с Wiktionary: чертить; начертить
phrasal	B2	drop by	заглянуть в гости	заходить; заглядывать; зайти; заглянуть	совпал	уронить мимо	to visit for a short time	To visit informally and spontaneously.	совпал	Drop by sometime.	Заглядывай как-нибудь.	да	
phrasal	B2	drop out	бросить учёбу		нечем	уронить наружу	to leave a course before finishing	To leave (school, a race, etc.) prematurely and voluntarily.	совпал	She dropped out of school.	Она бросила школу.	да	
phrasal	B2	end up	в итоге оказаться	заканчиваться; оказываться; закончиться; оказаться	совпал	конец вверх	to be in a place or state at last	To bring to a conclusion.	РАЗОШЁЛСЯ	I ended up winning.	В итоге я выиграл.	да	определение Wiktionary про другое значение: To bring to a conclusion.
phrasal	B2	fill out	заполнять (анкету)	заполнять; заполнить; расширяться; расшириться	совпал	наполнять наружу	to write information in a form	To complete a form or questionnaire with requested information.	совпал	Fill out the form.	Заполните бланк.	да	
phrasal	B2	get down to	приниматься за		нечем	взять вниз к	to start working seriously	To start focusing on doing something serious.	совпал	Let's get down to work.	Давайте приступим к работе.	нет	пример не подтверждён переводом — проверить значение
phrasal	B2	get through	дозвониться; справиться		нечем	взять сквозь	to reach someone by phone	To overcome; to endure.	РАЗОШЁЛСЯ	We'll get through this.	Мы с этим справимся.	да	определение Wiktionary про другое значение: To overcome; to endure.
phrasal	B2	give out	раздавать; иссякать	обнародовать; объявлять; объявить; провозглашать; провозгласить	РАЗОШЁЛСЯ	дать наружу	to give something to many people	To utter, publish; to announce, proclaim, report. To announce.	РАЗОШЁЛСЯ	I don't give out anything.	Я ничего не раздаю.	да	определение Wiktionary про другое значение: To utter, publish; to announce, proclaim, report. To announce.; перевод расходится с Wiktionary: обнародовать; объявлять; объявить; провозглашать
phrasal	B2	hold back	сдерживать	сдерживать; сдерживаться; придерживать (силы); удерживать; держать	совпал	держать назад	to stop yourself showing a feeling	To act with reserve; to contain one's full measure or power.	РАЗОШЁЛСЯ	You have to hold back.	Вам надо сдерживаться.	да	определение Wiktionary про другое значение: To act with reserve; to contain one's full measure or power.
phrasal	B2	look into	изучать, разбираться		нечем	смотреть внутрь	to examine a matter carefully	To investigate, explore, or consider.	РАЗОШЁЛСЯ	Let me look into it.	Изучу-ка я это.	да	определение Wiktionary про другое значение: To investigate, explore, or consider.
phrasal	B2	pass on	передавать дальше	передавать; передать; пропускать; пропустить; отказаться	совпал	пройти на	to give information to another person	To go forward.	РАЗОШЁЛСЯ	I passed on the job to him.	Я передал работу ему.	да	определение Wiktionary про другое значение: To go forward.
phrasal	B2	pick out	выбирать, выделять	выковыривать; выковырять	РАЗОШЁЛСЯ	поднять наружу	to choose one from a group	To remove by picking.	РАЗОШЁЛСЯ	I picked out the gray hat.	Я выбрал серую шляпу.	нет	определение Wiktionary про другое значение: To remove by picking.; перевод расходится с Wiktionary: выковыривать; выковырять; пример не подтверждён переводом — проверить значение
phrasal	B2	put forward	выдвигать (идею)	предлагать; выдвигать; предложить	совпал	положить вперёд	to suggest an idea for discussion	To propose for consideration.	РАЗОШЁЛСЯ	He put forward a new theory.	Он выдвинул новую теорию.	да	определение Wiktionary про другое значение: To propose for consideration.
phrasal	B2	run into	случайно встретить	вбегать; вбежать; наезжать; наехать	РАЗОШЁЛСЯ	бежать в	to meet someone by chance	To enter by running.	РАЗОШЁЛСЯ	I happened to run into her.	Я встретил её случайно.	да	определение Wiktionary про другое значение: To enter by running.; перевод расходится с Wiktionary: вбегать; вбежать; наезжать; наехать
phrasal	B2	see off	провожать	провожать; проводить	совпал	видеть прочь	to go with someone to their point of departure	To accompany someone to a point of departure; to ensure someone departs safely.	совпал	We'll see you off.	Мы тебя проводим.	да	
phrasal	B2	set aside	откладывать (время, деньги)		нечем	ставить в сторону	to keep something for later use	To separate and reserve something for a specific purpose.	РАЗОШЁЛСЯ	They set aside her objections.	Они отклонили её возражения.	да	определение Wiktionary про другое значение: To separate and reserve something for a specific purpose.
phrasal	B2	settle down	остепениться; успокоиться	успокоиться; остепениться; привыкнуть; адаптироваться; обустроиться	совпал	осесть вниз	to start living a calm settled life	To make or become quiet and calm after a period of disturbance or restlessness.	совпал	Settle down, you two.	Вы двое, успокойтесь.	да	
phrasal	B2	sign up	записаться, зарегистрироваться	записывать; записать; записываться; записаться; подписываться	совпал	подписать вверх	to put your name on a list to join	To add a name to the list of people who are participating in something.	совпал	Anyone can sign up.	Зарегистрироваться может любой желающий.	да	
phrasal	B2	take on	брать на себя; нанимать	принимать; приобретать; брать на себя; тягаться	совпал	взять на	to accept a task or a job	To acquire, bring in, or introduce.	РАЗОШЁЛСЯ	I can take on this task.	Я могу взяться за эту работу.	нет	определение Wiktionary про другое значение: To acquire, bring in, or introduce.; пример не подтверждён переводом — проверить значение
phrasal	B2	tell off	отчитывать, ругать	распекать; отчитывать	совпал	сказать прочь	to speak angrily to someone who did wrong	To number off (a group of soldiers); to divide up (soldiers) in this way.	РАЗОШЁЛСЯ	I didn't know, so don't tell me off.	Я не знал, так что не ругайте меня.	да	определение Wiktionary про другое значение: To number off (a group of soldiers); to divide up (soldiers) in this way.
phrasal	B2	think over	обдумывать	обдумать	совпал	думать над	to consider carefully	To ponder or reflect on a subject.	РАЗОШЁЛСЯ	We have to think over the plan.	Мы должны обдумать план.	да	определение Wiktionary про другое значение: To ponder or reflect on a subject.
phrasal	B2	turn around	развернуться; изменить к лучшему	разворачиваться; развернуться; изменяться; измениться	совпал	повернуть вокруг	to face the other way	To physically rotate (usually around a vertical axis) for a half turn (180 degrees).	РАЗОШЁЛСЯ	Now turn around.	Теперь развернись.	да	определение Wiktionary про другое значение: To physically rotate (usually around a vertical axis) for a half turn (180 degrees).
phrasal	B2	wear off	проходить (об эффекте)	смягчаться; слабеть; стираться	РАЗОШЁЛСЯ	носить прочь	to slowly disappear	To diminish in effect.	РАЗОШЁЛСЯ	The pain is starting to wear off.	Боль начинает отступать.	нет	определение Wiktionary про другое значение: To diminish in effect.; перевод расходится с Wiktionary: смягчаться; слабеть; стираться; пример не подтверждён переводом — проверить значение
phrasal	B2	wear out	изнашивать(ся); выматывать	изнашивать; износить; изнашиваться; изматывать; изнурять	совпал	носить наружу	to become old and unusable	To cause (something) to become damaged, useless, or ineffective through continued use, especially hard, heavy.	совпал	My children wear out their shoes quickly.	Мои дети быстро изнашивают свою обувь.	да	
phrasal	B2	own up	признаваться	признавать; принимать	совпал	владеть вверх	to admit that you did something	To acknowledge, confess, or admit guilt or responsibility.	совпал	He owned up to that mistake.	Эту ошибку он признал.	да	
phrasal	B2	back up	поддержать; сделать копию	давать задний ход; двигаться назад; сдавать назад; возвращать; возвращаться	совпал	назад вверх	to make a copy of computer files	To move backwards, especially for a vehicle to do so.	РАЗОШЁЛСЯ	Back up your files.	Сделайте резервную копию ваших файлов.	да	определение Wiktionary про другое значение: To move backwards, especially for a vehicle to do so.
phrasal	B2	call on	обращаться к, призывать		нечем	звать на	to ask someone publicly to do something	To visit (a person); to pay a call to.	РАЗОШЁЛСЯ	He called on me.	Он пришёл ко мне в гости.	нет	определение Wiktionary про другое значение: To visit (a person); to pay a call to.; пример не подтверждён переводом — проверить значение
phrasal	B2	come around	заглянуть; прийти в себя	передумать; прийти в себя	совпал	прийти вокруг	to visit someone at their home	To change one's mind, especially to begin to agree or appreciate what one was reluctant to accept at first.	РАЗОШЁЛСЯ	Tom comes around now and then.	Том время от времени заглядывает в гости.	да	определение Wiktionary про другое значение: To change one's mind, especially to begin to agree or appreciate what one was reluctant to accept at first.
phrasal	C1	bank on	рассчитывать на, надеяться на		нечем	банк на	to depend on something happening	To rely on someone or something; to count on something; to depend on something.	совпал	You can bank on me.	Можете на меня рассчитывать.	да	
phrasal	C1	brush aside	отмахнуться от		нечем	смахнуть в сторону	to refuse to consider something	To disregard, dismiss or ignore something, as unimportant.	РАЗОШЁЛСЯ	He got brushed aside.	Его оттолкнули.	нет	определение Wiktionary про другое значение: To disregard, dismiss or ignore something, as unimportant.; пример не подтверждён переводом — проверить значение
phrasal	C1	gloss over	замалчивать, обходить стороной	замалчивать; вкратце касаться; пробежаться	совпал	глянец над	to avoid mentioning a problem	To cover up a mistake or a crime; to hush up or whitewash.	РАЗОШЁЛСЯ				определение Wiktionary про другое значение: To cover up a mistake or a crime; to hush up or whitewash.; примера нет: нет предложений в Tatoeba
phrasal	C1	iron out	сглаживать, устранять (шероховатости)	сглаживать; разглаживать; сгладить; разгладить	совпал	утюжить наружу	to solve small problems	To remove (a crease or creases) with an iron.	РАЗОШЁЛСЯ	The label on my scarf says: "Wash and iron inside out." I wonder how I might do that.	На этикетке моего шарфа сказано: «Стирать и гладить вывернутым наизнанку». Интересно, как же мне это сделать.	нет	определение Wiktionary про другое значение: To remove (a crease or creases) with an iron.; пример не подтверждён переводом — проверить значение
phrasal	C1	mull over	обмозговывать		нечем	размышлять над	to think about something for a long time	To think deeply about something; to ponder, deliberate or ruminate.	совпал	I mulled over it for days.	Я несколько дней это обдумывал.	нет	пример не подтверждён переводом — проверить значение
phrasal	C1	phase out	постепенно сворачивать		нечем	фаза наружу	to stop using something gradually	To remove or relinquish the use of (something) little by little.	РАЗОШЁЛСЯ				определение Wiktionary про другое значение: To remove or relinquish the use of (something) little by little.; примера нет: нет предложений в Tatoeba
phrasal	C1	rope in	втягивать, привлекать		нечем	верёвка внутрь	to persuade someone to help	To cause (someone) to become involved in something they are reluctant to do; to draw into something.	РАЗОШЁЛСЯ	Put the rope in the box.	Положи верёвку в ящик.	нет	определение Wiktionary про другое значение: To cause (someone) to become involved in something they are reluctant to do; to draw into something.; пример не подтверждён переводом — проверить значение
phrasal	C1	shore up	укреплять, подпирать	поддерживать; упрочнять; укреплять; подкреплять; поддержать	совпал	берег вверх	to support something that may fail	To reinforce or strengthen (something at risk of failure).	РАЗОШЁЛСЯ	Millions of dollars have been spent trying to shore up the company.	Миллионы долларов были потрачены в попытках поддержать компанию.	нет	определение Wiktionary про другое значение: To reinforce or strengthen (something at risk of failure).; пример не подтверждён переводом — проверить значение
phrasal	C1	tone down	смягчать, приглушать		нечем	тон вниз	to make something less strong	To relax; to make quieter or less obtrusive; to make milder.	совпал	The interpreter toned down Tom's coarse language considerably.	Переводчик существенно смягчил грубые слова Тома.	да	
phrasal	C1	weigh up	взвешивать (варианты)		нечем	взвешивать вверх	to compare things before deciding	To assess a person or a situation.	РАЗОШЁЛСЯ	You must weigh up the pros and cons.	Ты должен взвесить все "за" и "против".	да	определение Wiktionary про другое значение: To assess a person or a situation.
phrasal	C1	wade through	продираться сквозь (текст)		нечем	брести сквозь	to read something long and dull	To search or progress through with difficulty, as when performing a boring, repetitive research task.	РАЗОШЁЛСЯ				определение Wiktionary про другое значение: To search or progress through with difficulty, as when performing a boring, repetitive research task.; примера нет: нет предложений в Tatoeba
phrasal	C1	whittle down	постепенно сокращать		нечем	строгать вниз	to reduce something little by little	To reduce gradually by removing pieces.	совпал				примера нет: нет предложений в Tatoeba
phrasal	C1	bear out	подтверждать		нечем	нести наружу	to show that something is true	To corroborate, prove, or confirm; to demonstrate; to provide evidence for.	РАЗОШЁЛСЯ	The facts bear out this hypothesis.	Факты подтверждают эту гипотезу.	да	определение Wiktionary про другое значение: To corroborate, prove, or confirm; to demonstrate; to provide evidence for.
phrasal	C1	hinge on	зависеть от	зависеть	совпал	петля на	to depend completely on something	To depend on; to be contingent upon.	совпал	One of the hinges on that door is broken.	У этой двери одна петля сломана.	нет	пример не подтверждён переводом — проверить значение
phrasal	C1	stave off	предотвращать, отсрочивать	предотвращать	совпал	отражать прочь	to keep something bad away for a time	To prevent something from happening; to obviate or avert.	РАЗОШЁЛСЯ				определение Wiktionary про другое значение: To prevent something from happening; to obviate or avert.; примера нет: нет предложений в Tatoeba
phrasal	C1	tide over	помочь продержаться	выручать; спасать	РАЗОШЁЛСЯ	прилив над	to help someone through a difficult period	To support or sustain (someone), especially financially, for a limited period.	совпал	This will tide you over for a day or so.	Это поможет вам продержаться пару дней.	да	перевод расходится с Wiktionary: выручать; спасать
phrasal	C1	wind up	в итоге оказаться; сворачивать (дело)	раззадоривать	РАЗОШЁЛСЯ	заводить вверх	to end in a particular situation	To wind (rope, string, mainsprings, etc.) completely.	РАЗОШЁЛСЯ	How did you wind up in that abandoned building?	Как Вы оказались в этом заброшенном здании?	да	определение Wiktionary про другое значение: To wind (rope, string, mainsprings, etc.) completely.; перевод расходится с Wiktionary: раззадоривать
phrasal	C1	egg on	подначивать, подстрекать	подстрекать; подбивать; подговаривать; науськивать; подзуживать	совпал	яйцо на	to encourage someone to do something silly	To encourage or coax (a person) to do something, especially something foolhardy or reckless.	совпал	I have egg on my face.	Я опростоволосился.	нет	пример не подтверждён переводом — проверить значение
phrasal	C1	reel off	тараторить, выпаливать списком		нечем	катушка прочь	to say a list quickly from memory	Used other than figuratively or idiomatically: see reel,‎ off.	РАЗОШЁЛСЯ				определение Wiktionary про другое значение: Used other than figuratively or idiomatically: see reel,‎ off.; примера нет: не для детей [страны и национальности]: european
phrasal	C1	spell out	разъяснять по пунктам		нечем	произносить по буквам наружу	to explain something in a very clear way	To form (a word) from letters; say the letters in a word.	РАЗОШЁЛСЯ	Let me spell it out for you.	Позволь мне объяснить тебе это на пальцах.	нет	определение Wiktionary про другое значение: To form (a word) from letters; say the letters in a word.; пример не подтверждён переводом — проверить значение
phrasal	C1	branch out	расширять дело, пробовать новое	ветвиться; разветвляться; разветвиться	РАЗОШЁЛСЯ	ветвь наружу	to start doing something new	To expand in the manner of branches.	РАЗОШЁЛСЯ	We decided to branch out into selling some foodstuffs.	Мы решили расширить бизнес и начать продавать продукты питания.	да	определение Wiktionary про другое значение: To expand in the manner of branches.; перевод расходится с Wiktionary: ветвиться; разветвляться; разветвиться
idiom	B1	a piece of cake	проще простого	проще пареной репы; раз плюнуть; как два пальца обоссать	совпал	кусок торта	something very easy to do	A job, task or other activity that is pleasant or, by extension, easy or simple.	совпал	It's a piece of cake.	Проще пареной репы.	да	
idiom	B1	once in a blue moon	очень редко, раз в сто лет	раз в сто лет	совпал	однажды в голубую луну	very rarely	Very rarely; very infrequently.	совпал	I study once in a blue moon.	Я занимаюсь раз в пятилетку.	нет	пример не подтверждён переводом — проверить значение
idiom	B1	break the ice	растопить лёд, начать разговор	сделать первый шаг; положить начало	совпал	разбить лёд	to make people feel less shy at a first meeting	To start to get to know people to avoid social awkwardness and formality.	совпал	When all the group members are silent, somebody must break the ice.	Когда все участники группы молчат, кто-то должен растопить лёд.	да	
idiom	B1	hit the books	засесть за учёбу	зубрить	РАЗОШЁЛСЯ	бить книги	to start studying hard	To study, especially with particular intensity.	совпал	It's time to hit the books.	Что ж, пора заниматься по-серьёзному.	нет	перевод расходится с Wiktionary: зубрить; пример не подтверждён переводом — проверить значение
idiom	B1	under the weather	неважно себя чувствовать	не по себе; нездоровый; приболевший	РАЗОШЁЛСЯ	под погодой	feeling slightly unwell	Ill or gloomy, especially from a cold or flu.	РАЗОШЁЛСЯ	I was under the weather.	Мне нездоровилось.	нет	определение Wiktionary про другое значение: Ill or gloomy, especially from a cold or flu.; перевод расходится с Wiktionary: не по себе; нездоровый; приболевший; пример не подтверждён переводом — проверить значение
idiom	B1	keep an eye on	присматривать за	присматривать; приглядывать; держать глаз на; глаз не спускать; следить	совпал	держать глаз на	to watch someone or something carefully	To watch and pay attention to, in case of misbehaviour or mishap.	совпал	Keep an eye on it.	Присматривай за ним.	да	
idiom	B1	cost an arm and a leg	стоить целое состояние	стоить целое состояние; кругленькая сумма	совпал	стоить руку и ногу	to be very expensive	Usually used after the verb cost, but also often charge, pay, and spend.	РАЗОШЁЛСЯ	It cost an arm and a leg.	Это стоило бешеных денег.	да	определение Wiktionary про другое значение: Usually used after the verb cost, but also often charge, pay, and spend.
idiom	B1	feel blue	грустить, хандрить		нечем	чувствовать синий	to feel sad		нечем	I feel blue.	Мне грустно.	да	
idiom	B1	be all ears	внимательно слушать	внимательно слушать; слушать во все уши; навострить уши; обратиться в слух; весь внимание	совпал	быть весь уши	to be listening very carefully	Listening intently; fully focused.	совпал				примера нет: длина английского предложения
idiom	B1	on cloud nine	на седьмом небе от счастья	на седьмом небе	совпал	на облаке девять	extremely happy	In a state of elation; very happy; blissful.	совпал	I'm on cloud nine.	Я на седьмом небе от счастья.	да	
idiom	B1	rain cats and dogs	лить как из ведра	лить как из ведра	совпал	дождить кошками и собаками	to rain very heavily	To rain very heavily.	совпал	It rained cats and dogs.	Лило как из ведра.	да	
idiom	B1	hit the road	отправиться в путь	отправиться в дорогу	совпал	бить дорогу	to start a journey	To begin traveling in an automobile or other road vehicle.	РАЗОШЁЛСЯ	Let's hit the road.	В путь!	да	определение Wiktionary про другое значение: To begin traveling in an automobile or other road vehicle.
idiom	B1	break a leg	ни пуха ни пера	ни пуха ни пера; ни хвоста ни чешуи	совпал	сломать ногу	used to wish someone good luck	Good luck!	совпал	Break a leg.	Ни пуха ни пера.	да	
idiom	A2	better late than never	лучше поздно, чем никогда	лучше поздно, чем никогда	совпал	лучше поздно, чем никогда	it is better to arrive late than not at all	It is better to do something late, than to never do it at all.	совпал	Better late than never.	Лучше поздно, чем никогда.	да	
idiom	A2	practice makes perfect	повторение — мать учения	повторение мать учения; навык мастера ставит; дело делу учит	совпал	практика делает совершенным	you get better at something by doing it often	If one practices an activity enough, one will eventually master it.	РАЗОШЁЛСЯ	Practice makes perfect.	Повторение — мать учения.	да	определение Wiktionary про другое значение: If one practices an activity enough, one will eventually master it.
idiom	A2	time flies	время летит	время летит	совпал	время летит	time passes very quickly	Time passes quickly.	совпал	Time flies.	Время летит.	да	
idiom	A2	never mind	неважно, не бери в голову	ничего; неважно; волноваться; беспокоиться; ничего страшного	совпал	никогда не думай	used to say that something is not important	It is not important; do not fret; used to reassure or comfort the person to whom it is said.	совпал	Never mind then.	Тогда неважно.	да	
idiom	B1	take your time	не торопись		нечем	возьми своё время	used to tell someone not to hurry	To go about something slowly and carefully or at one's own pace.	РАЗОШЁЛСЯ	Take your time.	Не торопись.	да	определение Wiktionary про другое значение: To go about something slowly and carefully or at one's own pace.
idiom	B1	no big deal	ничего страшного		нечем	не большая сделка	not important, not a problem	Used to indicate that something is trivial or unimportant.	РАЗОШЁЛСЯ	That's no big deal.	Ничего страшного.	да	определение Wiktionary про другое значение: Used to indicate that something is trivial or unimportant.
idiom	B1	now and then	время от времени	то и дело; временами; время от времени	совпал	сейчас и тогда	sometimes but not often		нечем	Call me now and then.	Позванивай мне время от времени.	да	
idiom	B1	so far so good	пока всё идёт хорошо	пока все хорошо	совпал	так далеко так хорошо	everything is fine up to now	Up to this point, all is OK.	РАЗОШЁЛСЯ				определение Wiktionary про другое значение: Up to this point, all is OK.; примера нет: длина английского предложения
idiom	B1	keep it up	так держать		нечем	держи это вверх	used to tell someone to continue doing well	To maintain or continue a positive streak.	совпал	Keep it up.	Так держать!	да	
idiom	B1	it's a small world	мир тесен	мир тесен	совпал	это маленький мир	used when you meet someone you know in an unexpected place		нечем	It's a small world.	Мир тесен.	да	
idiom	B1	actions speak louder than words	судят по делам, а не по словам		нечем	действия говорят громче слов	what you do matters more than what you say	It is more effective to act directly than to speak of action.	совпал	Actions speak louder than words.	Не по словам судят, а по делам.	да	
idiom	B1	the early bird catches the worm	кто рано встаёт, тому бог подаёт		нечем	ранняя птица ловит червяка	the person who starts early gets the best result		нечем	The early bird catches the worm.	У праздного ноги в сырости.	нет	пример не подтверждён переводом — проверить значение
idiom	B1	don't judge a book by its cover	не суди по внешности		нечем	не суди книгу по обложке	do not judge people by how they look		нечем	Don't judge a book by its cover.	Не суди о книге по обложке.	да	
idiom	B1	two heads are better than one	одна голова хорошо, а две лучше		нечем	две головы лучше одной	two people solve a problem better than one	Some tasks may be accomplished more easily by two (or more) people working together than by one working alone.	совпал	Two heads are better than one.	Две головы лучше одной.	да	
idiom	B1	money doesn't grow on trees	деньги на дороге не валяются		нечем	деньги не растут на деревьях	money is not easy to get	Wealth cannot be obtained without some effort.	РАЗОШЁЛСЯ	Money doesn't grow on trees.	Деньги не растут на деревьях.	да	определение Wiktionary про другое значение: Wealth cannot be obtained without some effort.
idiom	B1	give someone a hand	помочь кому-то		нечем	дать кому-то руку	to help someone	To help, aid, or assist.	совпал	Could someone give me a hand?	Кто-нибудь может помочь мне?	да	
idiom	B1	lend a hand	подсобить, помочь		нечем	одолжить руку	to help with a task	To help or assist, especially voluntarily.	совпал	We'll lend a hand.	Мы поможем.	да	
idiom	B1	keep your fingers crossed	держать кулачки за кого-то		нечем	держать пальцы скрещёнными	to hope that something good will happen		нечем	Just keep your fingers crossed.	Держи за меня кулачки.	да	
idiom	B1	know something by heart	знать наизусть		нечем	знать что-то сердцем	to remember something perfectly		нечем				примера нет: нет предложений в Tatoeba
idiom	B1	a couch potato	лежебока, домосед		нечем	диванная картошка	a person who watches a lot of television		нечем	Don't be a couch potato.	Не будь лежебокой.	да	
idiom	B1	an early bird	ранняя пташка, жаворонок		нечем	ранняя птица	a person who gets up early		нечем	I'm an early bird.	Я жаворонок.	да	
idiom	B1	a night owl	сова, полуночник		нечем	ночная сова	a person who stays awake late		нечем	I'm a night owl.	Я "сова".	да	
idiom	B1	butterflies in your stomach	бабочки в животе, волнение		нечем	бабочки в животе	a nervous feeling before something important		нечем				примера нет: нет предложений в Tatoeba
idiom	B1	once and for all	раз и навсегда	раз и навсегда	совпал	однажды и навсегда	finally and completely	Conclusively, finally, permanently.	совпал	Get it settled once and for all.	Уладьте это раз и навсегда.	да	
idiom	B2	a hot potato	щекотливая тема		нечем	горячая картошка	a subject that people find hard to discuss		нечем				примера нет: нет предложений в Tatoeba
idiom	B2	the ball is in your court	теперь твой ход		нечем	мяч на твоей половине корта	it is your turn to act	It is someone's turn to do something; often making a decision.	совпал	The ball is in your court.	Твоя очередь.	нет	пример не подтверждён переводом — проверить значение
idiom	B2	call it a day	закончить на сегодня	закругляться; шабаш; баста; выходить на пенсию; выходить в отставку	РАЗОШЁЛСЯ	назвать это днём	to stop working for the day	To cease an activity.	РАЗОШЁЛСЯ	Let's call it a day.	На сегодня хватит.	да	определение Wiktionary про другое значение: To cease an activity.; перевод расходится с Wiktionary: закругляться; шабаш; баста; выходить на пенсию
idiom	B2	a blessing in disguise	не было бы счастья, да несчастье помогло		нечем	благословение в маскировке	something bad that turns out to be good		нечем	It was a blessing in disguise.	Не было бы счастья, да несчастье помогло.	да	
idiom	B2	every cloud has a silver lining	нет худа без добра	нет худа без добра	совпал	у каждой тучи серебряная подкладка	every bad situation has something good in it	There is something good in any bad situation.	совпал	Every cloud has a silver lining.	Нет худа без добра.	да	
idiom	B2	it's not rocket science	это не бином Ньютона	бином ньютона	совпал	это не ракетная наука	it is not difficult to understand	The science or study of rockets and their design.	РАЗОШЁЛСЯ	It's not rocket science.	Это вам не бином Ньютона.	да	определение Wiktionary про другое значение: The science or study of rockets and their design.
