слово	уровень	ранг	часть речи	перевод(черновик)	варианты перевода	пример	перевод примера	определение	категория	чего не хватает
pep	C1	12214	Noun	энергия	прыть			Energy, high spirits.		пример: не для детей (в переводе): кома; категория не определилась (не определилась)
transponder	C2	32121	Noun	транспондер				A radar or radio transceiver that transmits some signal in response to receiving a predetermined signal.		пример: нет предложений в Tatoeba; категория не определилась (не определилась)
turkey	B1	2728	Noun	индейка	индюк; индюшка	I sliced the turkey.	Я нарезал индейку.	The guinea fowl (family Numididae).		категория не определилась (не определилась)
chaos	B2	4623	Noun	хаос	хаос	My life is chaos.	Моя жизнь — хаос.	The unordered state of matter in classical accounts of cosmogony.		категория не определилась (не определилась)
photo	A1	541	Noun			Send a photo.	Пришли фотку.	A photograph.		нет русского перевода в Wiktionary (вынесен на отдельную страницу); категория не определилась (не определилась)
dan	A2	1938	Noun			Dan doesn't bite.	Дэн не кусается.	A title of honour or respect similar to "master" or "Sir", used of historical and legendary figures of the past.		нет русского перевода в Wiktionary; категория не определилась (не определилась)
juan	B2	4624	Noun			Juan is sad.	Хуану грустно.	A scroll of a traditional Chinese book, often (but not necessarily) corresponding to a single chapter or fascicle.		нет русского перевода в Wiktionary; категория не определилась (не определилась)
half	A1	542	Noun	половина	тайм	It’s a half.	Это половина.	One of two usually roughly equal parts into which anything may be divided, or considered as divided.		категория не определилась (не определилась)
outreach	C1	12218	Noun					The act of reaching out. The act of raising awareness.	actions	нет русского перевода в Wiktionary (вынесен на отдельную страницу); пример: нет предложений в Tatoeba
nyah	C2	32124	Interjection					Expressing smug triumph.	communication	нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba
shift	B1	2733	Noun		change of workers → смена; act of shifting → сдвиг/передвижение/смещение; gear mechanism in a motor vehicle → переключение/переключение передач; button on a keyboard → шифт/клавиша шифт	Shift into third gear.	Включи третью передачу.	A movement to do something, a beginning.	actions	перевод не привязывается к значению — риск взять чужое
thereof	C1	12219	Adverb		of this, that, or it → из этого/этого/таковой; from that circumstance or origin; theref → оттуда/отсюда	I said, I will go up to the palm tree, I will take hold of the boughs thereof.	Подумал я: влез бы я на пальму, ухватился бы за ветви её.	Of this, that, or it.	qualities	перевод не привязывается к значению — риск взять чужое
executive	A2	1947	Adjective	исполнительный				Designed or fitted for execution, or carrying into effect.	qualities	пример: слова нет в предложении
minimum	B1	2734	Noun	минимум		That's the bare minimum.	Это допустимый минимум.	The lowest limit.		категория не определилась (не определилась)
level	A1	547	Adjective	ровный		She stooped to her level.	Она опускалась до её уровня.	The same height at all places; parallel to a flat ground.	places	многозначное слово, подтвердить перевод нечем (части речи: Adjective/Noun/Verb)
camcorder	C1	12221	Noun	видеокамера				A camera recorder: a portable electronic device for recording images and audio on to a storage device.	tech	пример: нет предложений в Tatoeba
nana	C1	12222	Noun			You look a right nana dressed up like that.		A foolish person.		нет русского перевода в Wiktionary; пример: предложение не целое; категория не определилась (не определилась)
pretty	A1	549	Adjective	хорошенький	милый; миловидный; миленький	I'm pretty.	Я красивая.	Pleasant to the sight or other senses; attractive, especially of women or children.	qualities	многозначное слово, подтвердить перевод нечем (части речи: Adjective/Adverb/Noun/Verb)
bid	A2	1952	Verb	приказывать	приказать	I bid you adieu.	Я прощаюсь с тобой.	To issue a command; to tell.	communication	многозначное слово, подтвердить перевод нечем (2 разных этимологий)
aim	B1	2737	Noun	прицел		Tom aimed at the target.	Том прицелился.	The pointing of a weapon, as a gun, a dart, or an arrow, or object, in the line of direction with the object intended to be struck.		категория не определилась (не определилась)
bukkake	B2	4637	Noun	буккакэ	буккаке			A method of pouring broth over cold noodles, commonly udon.	actions	пример: нет предложений в Tatoeba
hierarchy	C1	12225	Noun	иерархия		There is a strict hierarchy here.	Здесь действует строгая иерархия.	A body of authoritative officials organized in nested ranks.		категория не определилась (не определилась)
hello	A1	550	Noun	здравствуйте	привет; здорово; добрый день	Hello there.	Здравствуйте.	"Hello!" or an equivalent greeting.	communication	перевод есть только для другой части речи (Interjection вместо Noun)
stress	B1	2741	Noun		(physics) internal force across a bounda → напряжение/нажим/усилие; emotional pressure → стресс/стресс/напряжение; on a point in an argument → акцент/ударение	I cope with stress.	Я справляюсь со стрессом.	A physical, chemical, infective agent aggressing an organism.		перевод не привязывается к значению — риск взять чужое; категория не определилась (не определилась)
democratic	B2	4638	Adjective	демократический		The United States is a democratic country, as the citizens are allowed to choose leaders to represent their interests.		Pertaining to democracy; constructed upon or in line with the principle of government chosen by the people.	society	пример: слово в примере — имя собственное
binoculars	C1	12226	Noun	бинокль				A hand-held device consisting of a series of lenses and prisms, used to magnify objects so that they can be better seen from a distance.	tech	пример: Tatoeba недоступна (offline: нет в кэше)
sound	A1	551	Adjective	крепкий	прочный; надёжный	Sound familiar?	Знакомо?	Complete, solid, or secure.	qualities	многозначное слово, подтвердить перевод нечем (4 разных этимологий; части речи: Adjective/Adverb/Noun/Verb)
louis	A2	1955	Noun					Any gold or silver coin issued by the French kings from Louis XIII to Louis XVI and bearing their image on the obverse side.		нет русского перевода в Wiktionary; пример: длина английского предложения; категория не определилась (не определилась)
letterman	C2	32131	Noun					A student who has attained a specified level of participation in a sporting or other activity.	school	нет русского перевода в Wiktionary; пример: Tatoeba недоступна (offline: нет в кэше)
episode	B1	2748	Noun	эпизод	случай; событие; происшествие	I saw that episode.	Я видел эту серию.	A discrete but connected event, situation, or period within a broader sequence, narrative, or life course.		категория не определилась (не определилась)
norman	B2	4640	Noun					A wooden bar, or iron pin.		нет русского перевода в Wiktionary; пример: длина английского предложения; категория не определилась (не определилась)
nuisance	C1	12228	Noun	неудобство	неприятность; досада; помеха	The telephone can be a nuisance.	Телефон может быть неудобством.	A minor annoyance or inconvenience.		категория не определилась (не определилась)
outlay	C2	32132	Noun	расходы	затраты			A laying out or expending; that which is laid out or expended.		пример: нет предложений в Tatoeba; категория не определилась (не определилась)
wish	A1	554	Noun	желание		You wish.	И не мечтай.	A desire, hope, or longing for something or for something to happen.		категория не определилась (не определилась)
facilities	B1	2750	Noun			Our university has excellent sports facilities.	Наш университет располагает отличной спортивной базой.	Facilities for urination and defecation: a toilet; a lavatory.		нет русского перевода в Wiktionary; категория не определилась (не определилась)
engineering	A2	1959	Noun	техника	инженерия; разработка; инжиниринг			The application of mathematics and the physical sciences to the needs of humanity and the development of technology.	tech	пример: слова нет в предложении
appointment	B1	2751	Noun	назначение		Make an appointment.	Запишись на приём.	The act of appointing a person to hold an office or to have a position of trust.	actions	перевод примера относится к другому значению
booth	B2	4646	Noun	стенд		Good luck finding a phone booth here.	Телефонных будок тут кот наплакал.	A small stall for the display and sale of goods.		категория не определилась (не определилась)
clear	A1	556	Adjective	чистый	прозрачный	Clear out.	Освободите помещение!	Transparent in colour.	qualities	многозначное слово, подтвердить перевод нечем (части речи: Adjective/Adverb/Verb/Noun)
kit	A2	1960	Noun		equipment of a soldier → снаряжение/экипировка; collection of items needed for a specifi → комплект/набор/снаряжение	I need a first aid kit.	Мне нужен набор первой помощи.	A circular wooden vessel, made of hooped staves.	objects	перевод не привязывается к значению — риск взять чужое
press	A1	557	Noun	пресс	соковыжималка	Press here.	Нажми сюда.	An instance of applying pressure; an instance of pressing.		многозначное слово, подтвердить перевод нечем (2 разных этимологий); категория не определилась (не определилась)
savory	C2	32136	Adjective	аппетитный	вкусный; пикантный; острый	The fine restaurant presented an array of savory dishes; each was delicious.		Tasty, attractive to the palate.	qualities	пример: нет предложений в Tatoeba; многозначное слово, подтвердить перевод нечем (2 разных этимологий)
subject	A1	558	Adjective	подверженный	подлежащий	He's a subject.	Он доброволец.	Likely to be affected by or to experience something; liable.	school	многозначное слово, подтвердить перевод нечем (3 разных этимологий; части речи: Adjective/Noun/Verb)
structure	A2	1963	Noun	структура		The structure isn't safe.	Структуру нельзя назвать безопасной.	A cohesive whole built up of distinct parts.		категория не определилась (не определилась)
jerry	B1	2756	Noun					A chamber pot.		нет русского перевода в Wiktionary; пример: слово в примере — имя собственное; категория не определилась (не определилась)
rust	C1	12236	Noun	ржавчина	ржа	Rust eats iron; worries eat man.	Ржавчина ест железо, а волнение — человека.	The deteriorated state of iron or steel as a result of moisture and oxidation; it consists mostly of iron(III) oxide.		категория не определилась (не определилась)
tort	C2	32137	Noun					A wrongful act, whether intentional or negligent, regarded as non-criminal and unrelated to a contract.		нет русского перевода в Wiktionary (вынесен на отдельную страницу); пример: нет предложений в Tatoeba; категория не определилась (не определилась)
rental	B1	2757	Noun	аренда		I want to find a short-term rental.	Я хочу найти квартиру для краткосрочной аренды.	Something that is rented.		категория не определилась (не определилась)
clearance	B2	4650	Noun	очистка	расчистка	Tom bought that pair of shoes at a clearance sale.	Том купил ботинки на распродаже.	The act of clearing or something (such as a space) cleared.	actions	перевод примера относится к другому значению
vine	C1	12237	Noun			This vine winds around trees.	Эта лиана обвивается вокруг деревьев.	Any plant whose stem requires support and which climbs by tendrils or twining.	nature	нет русского перевода в Wiktionary (вынесен на отдельную страницу)
riddance	C2	32138	Noun			Good riddance.	Скатертью дорога!	An act of ridding, clearance, or removal; elimination.	actions	нет русского перевода в Wiktionary
club	A1	560	Noun	дубинка	дубина; палица	I like this club.	Мне нравится этот клуб.	A heavy object, often a kind of stick, intended for use as a bludgeoning weapon or a plaything.	objects	перевод примера относится к другому значению
crack	B1	2758	Verb	трескаться	потрескаться	We cracked up.	Мы расхохотались.	To form cracks.	actions	многозначное слово, подтвердить перевод нечем (2 разных этимологий; части речи: Verb/Noun/Adjective)
undated	C2	32139	Adjective					Not marked with a date.	qualities	нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba
single	A1	561	Adjective	один	одна; единственный	I'm single.	Я холост.	Not accompanied by anything else; one in number.	qualities	пример иллюстрирует другое значение (части речи: Adjective/Noun/Verb)
constitution	B2	4653	Noun	устройство		Read the constitution.	Почитай Конституцию.	The act, or process of setting something up, or establishing something; the composition or structure of such a thing; its makeup.	objects	перевод примера относится к другому значению
cavendish	C2	32140	Noun					Leaf tobacco softened, sweetened, and pressed into plugs or cakes.		нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba; категория не определилась (не определилась)
sexo	B1	2761	Noun					A sexual offender.		нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba; категория не определилась (не определилась)
manufacturing	B2	4654	Noun	производство	изготовление	There might be manufacturing defects.	Могут быть производственные дефекты.	The transformation of raw materials into finished products, usually on a large scale.		категория не определилась (не определилась)
mib	C1	12242	Noun					A marble (glass ball used in games), especially one used as a target.	sports	нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba
lowercase	C2	32144	Adjective	строчный	маленький			In lower case.	qualities	пример: длина английского предложения; многозначное слово, подтвердить перевод нечем (части речи: Noun/Adjective/Verb)
breath	B1	2765	Noun	дыхание	вздох	I breathed.	Я дышал.	The act or process of breathing.		многозначное слово, подтвердить перевод нечем (части речи: Noun/Adjective/Verb); категория не определилась (не определилась)
penetration	C1	12243	Noun	проникание	проникновение			The act of penetrating something.	actions	пример: длина английского предложения
parton	C2	32146	Noun					Any of the constituent particles making up a compound particle, e.g. the quarks and gluons which make up hadrons.		нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba; категория не определилась (не определилась)
brian	A2	1975	Verb			Brian left the door open.	Бриан оставил дверь открытой.	To keep fire at the mouth of (as of an oven), to give light or to preserve heat.	actions	нет русского перевода в Wiktionary
com	B1	2767	Noun					A player in a video game which is controlled by the computer rather than a human.	tech	нет русского перевода в Wiktionary; пример: латиница в переводе
lied	B2	4659	Noun					An art song, usually sung solo in German and accompanied on the piano.	art	нет русского перевода в Wiktionary; пример: слова нет в предложении
brush	B2	4666	Noun	щётка	кисть	This is a brush.	Это щётка.	An implement consisting of multiple more or less flexible bristles or other filaments attached to a handle.		категория не определилась (не определилась)
dynamo	C2	32149	Noun	динамо	динамо-машина			An electricity generator; a dynamo-electric machine.	tech	пример: нет предложений в Tatoeba
fuckin	B2	4667	Verb					Pronunciation spelling of fucking.	actions	нет русского перевода в Wiktionary; пример: слово в примере — имя собственное
oversight	C1	12249	Noun	недосмотр		Tom said that the mistake was due to an oversight.	Том сказал, что эта ошибка произошла по недосмотру.	An omission; something that is left out, missed, or forgotten.		категория не определилась (не определилась)
iguana	C2	32150	Noun	игуана		This is an iguana.	Это игуана.	A green iguana (Iguana iguana), a large tropical American lizard often kept as a pet.		категория не определилась (не определилась)
sort	A1	573	Noun	тип	сорт; вид; род	I sort of understand.	Я вроде как понимаю.	A general type.		многозначное слово, подтвердить перевод нечем (2 разных этимологий); категория не определилась (не определилась)
lane	B1	2770	Noun		passageway → переулок/аллея/алейка; division of roadway → полоса; division of racetrack → дорожка; course for ships or aircraft → трасса	This is the lover's lane.	Это улочка влюблённых.	A road, street, or similar thoroughfare.	city	перевод не привязывается к значению — риск взять чужое
certainty	C1	12251	Noun	уверенность		Your eyes shine with certainty.	Твои глаза излучают уверенность.	The state of being certain.		категория не определилась (не определилась)
anaerobic	C2	32152	Adjective	анаэробный				Without oxygen; especially of an environment or organism.	qualities	пример: нет предложений в Tatoeba
treat	A2	1980	Verb		to handle, deal with or behave towards i → относиться/обращаться; to entertain with food or drink → угощать/угостить; to care for medicinally or surgically → лечить/вылечить	My treat.	Я угощаю.	To negotiate, discuss terms, bargain (for or with).	communication	перевод не привязывается к значению — риск взять чужое
puzzle	B2	4669	Noun	загадка	затруднение	Solve the puzzle.	Решите головоломку.	The state of feeling confused or mystified because one cannot understand a complicated matter, a problem, etc.; bewilderment.	feelings	перевод примера относится к другому значению
antagonist	C2	32153	Noun	антагонист				An opponent or enemy.		пример: длина английского предложения; категория не определилась (не определилась)
sir	A1	575	Noun	господин		What's the matter, sir?	В чём дело, господин?	A man of a higher rank or position.		категория не определилась (не определилась)
associated	B1	2778	Adjective			Green is associated with grass.	Зелёный цвет ассоциируется с травой.	Connected with something or another person.	qualities	нет русского перевода в Wiktionary
copper	B2	4671	Noun	медь	медно-красный; медный; цвет меди	He melts copper.	Он плавит медь.	A reddish-brown metallic chemical element (symbol Cu) with the atomic number 29; also, the metal made up of this element.		категория не определилась (не определилась)
load	A2	1983	Noun	груз		I'm loaded.	Я бухой.	A burden; a weight to be carried.		многозначное слово, подтвердить перевод нечем (2 разных этимологий); категория не определилась (не определилась)
kate	B1	2780	Noun			Kate has a dog.	У Кейт есть собака.	The brambling finch, Fringilla montifringilla.		нет русского перевода в Wiktionary; категория не определилась (не определилась)
mare	C1	12254	Noun	кобыла		My mare foaled.	Моя кобыла ожеребилась.	An adult female horse.		категория не определилась (не определилась)
deviant	C1	12255	Adjective	девиантный		At the trial, the extent of his deviant behaviour became clear.		Characterized by deviation from an expectation or a social standard.	society	пример: нет предложений в Tatoeba
defamation	C2	32159	Noun	диффамация	шельмование; клевета; поношение	She sued his ex-boyfriend for defamation and is seeking $14,000.		The act of injuring another person's reputation by any slanderous communication, written or oral.	actions	пример: нет предложений в Tatoeba
total	A1	579	Noun	итог	сумма	Total tosh.	Бред какой-то!	An amount obtained by the addition of smaller amounts.		многозначное слово, подтвердить перевод нечем (части речи: Noun/Adjective/Verb); категория не определилась (не определилась)
homesick	C2	32163	Adjective			I'm homesick.	Я скучаю по дому.	Missing one's home and family very much when away; nostalgic.	home	нет русского перевода в Wiktionary
account	A1	583	Noun	счёт		Open an account.	Откройте счет.	A registry of pecuniary transactions; a written or printed statement of business dealings or debts and credits.	communication	многозначное слово, подтвердить перевод нечем (2 разных этимологий)
effort	A2	1988	Noun	усилие	старание; потуга	Make an effort.	Сделай усилие.	The work involved in performing an activity; exertion.		категория не определилась (не определилась)
tommy	B1	2786	Noun			Tommy sat down opposite her.	Томми сел напротив неё.	A British infantryman, especially one from World War I. Ellipsis of Tommy Atkins.		нет русского перевода в Wiktionary; категория не определилась (не определилась)
fast	A1	584	Adjective	прочный	крепкий	Come fast.	Приходи скорей.	Firmly or securely fixed in place; stable.	qualities	многозначное слово, подтвердить перевод нечем (4 разных этимологий; части речи: Adjective/Noun/Adverb/Verb)
land	A1	586	Noun	земля	земли; суша	I have land.	У меня есть участок.	The part of Earth which is not covered by oceans or other bodies of water.	nature	многозначное слово, подтвердить перевод нечем (2 разных этимологий)
glade	C2	32168	Noun	поляна	прогалина			An open passage through a wood; a grassy open or cleared space in a forest.	nature	пример: нет предложений в Tatoeba
west	A1	587	Noun	запад	вест; заход	She's in the west.	Она не в себе.	The direction opposite to that of the earth's rotation, specifically 270°.		многозначное слово, подтвердить перевод нечем (части речи: Noun/Adjective/Adverb/Verb); категория не определилась (не определилась)
cream	A2	1996	Noun	сливки	сметана	I like whipped cream.	Я люблю взбитые сливки.	The butterfat or milkfat part of milk which rises to the top; this part when separated from the remainder.		категория не определилась (не определилась)
sally	B2	4680	Noun		sortie → вылазка; witty statement or quip → острота/остроумная реплика	Sally met Harry at the station.	Салли встретила Гарри на вокзале.	Any tree that resembles a willow.	nature	перевод не привязывается к значению — риск взять чужое
solubility	C2	32169	Noun	растворимость				The condition of being soluble.		пример: слова нет в предложении; категория не определилась (не определилась)
gender	B2	4681	Noun		biological sex → пол; identification as a man, a woman, or som → пол/гендер; grammar: division of nouns and pronouns → род	I use the feminine gender.	Я считаю себя женщиной.	Class; kind.		перевод не привязывается к значению — риск взять чужое; категория не определилась (не определилась)
fancied	C2	32170	Adjective			She fancied herself beautiful.	Она считала себя красивой.	Existing only in the fancy (“imagination”) or by social convention; imaginary, imagined; supposed; perceived rather than real.	society	нет русского перевода в Wiktionary (вынесен на отдельную страницу)
multimedia	A2	1998	Noun	мультимедиа				The combined use of sound, video, and text to present an idea.	mind	пример: нет предложений в Tatoeba
liquidity	C2	32171	Noun	ликвидность				The state or property of being liquid.	objects	пример: слова нет в предложении
jane	A2	2000	Noun			Jane was upset.	Джейн была огорчена.	A silver Genovese coin, first used in England in the 14th century.		нет русского перевода в Wiktionary; категория не определилась (не определилась)
cap	B1	2796	Noun		head covering → кепка/картуз/шапка; head-covering to indicate rank etc. → фуражка; protective cover or seal → колпачок/крышка/крышечка; crown covering a tooth → коронка; summit of a mountain → вершина	Put on your cap.	Одень шапку.	A close-fitting hat, either brimless or peaked.		перевод не привязывается к значению — риск взять чужое; категория не определилась (не определилась)
joey	B2	4684	Noun	кенгурёнок	джоуи			The immature young of a marsupial, notably a junior kangaroo, but also a young wallaby, koala, etc.		пример: нет предложений в Tatoeba; многозначное слово, подтвердить перевод нечем (5 разных этимологий); категория не определилась (не определилась)
gay	A1	594	Adjective	гей	гомосексуал	He's gay.	Он гей.	Homosexual: Only possessing sexual and/or romantic attraction towards people one perceives to be the same sex or gender as oneself.	qualities	многозначное слово, подтвердить перевод нечем (2 разных этимологий; части речи: Adjective/Noun/Verb/Adverb)
mass	A2	2002	Noun	масса		The mass is over.	Обедня закончилась.	Matter, material. A quantity of matter cohering so as to make one body.	objects	пример иллюстрирует другое значение (2 разных этимологий; части речи: Noun/Verb/Adjective)
inclined	C1	12271	Adjective	наклонный		I'm inclined to agree.	Я склонен согласиться.	At an angle to the horizontal; slanted or sloped.	character	перевод примера относится к другому значению
troubleshoot	C2	32173	Verb					To analyze or diagnose (a problem, or something faulty) to the point of determining a solution.	actions	нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba
action	A1	596	Noun		something done so as to accomplish a pur → действие/поступок/акция; way of motion or functioning → действие/воздействие/движение; military: combat → бой/сражение; law: charge → иск	Take action.	Прими меры.	The effort of performing or doing something.	actions	перевод не привязывается к значению — риск взять чужое
eric	A2	2005	Noun			Eric has begun to sing.	Эрик начал петь.	A fine paid as compensation for violent crimes.		нет русского перевода в Wiktionary; категория не определилась (не определилась)
steam	B2	4686	Noun	пар		It's steam.	Это пар.	The hot gaseous form of water, formed when water changes from the liquid phase to the gas phase (at or above its boiling point temperature).	objects	многозначное слово, подтвердить перевод нечем (части речи: Noun/Verb/Adjective)
signora	C1	12272	Noun					Mrs; madam; title of address or respect for women in Italy.		нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba; категория не определилась (не определилась)
breather	C2	32174	Noun	передышка		Take a breather.	Возьми перерыв.	Something or someone that breathes. A heavy breather.		категория не определилась (не определилась)
jeff	A2	2006	Verb			Jeff seems to know who she is.	Джефф, похоже, знает, кто она.	To play or gamble with em quads, throwing them as dice.	actions	нет русского перевода в Wiktionary
jewelry	A2	2007	Noun			Some men wear jewelry.	Некоторые люди носят украшения.	US standard spelling of jewellery.		нет русского перевода в Wiktionary; категория не определилась (не определилась)
kha	C2	32176	Noun					The name of the Cyrillic script letter Х / х.		нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba; категория не определилась (не определилась)
offer	A1	601	Noun	предложение		Make an offer.	Сделайте предложение.	A proposal that has been made.		категория не определилась (не определилась)
clash	C1	12275	Noun	лязг	громыхание; гул; грохот	These colours clash.	Эти цвета не сочетаются.	A loud sound, like the crashing together of metal objects; a crash.		категория не определилась (не определилась)
meh	C2	32177	Adjective	фигня	фиговый			Mediocre; lackluster; unexceptional; uninspiring.	qualities	пример: нет предложений в Tatoeba; многозначное слово, подтвердить перевод нечем (3 разных этимологий)
approved	B1	2807	Adjective			He approved.	Он дал своё согласие.	Having received approval.	qualities	нет русского перевода в Wiktionary
miss	A1	603	Verb	не попасть	промахнуться; промазать	He miss me.	Он по мне скучает.	To fail to hit, catch, grasp, etc.	actions	пример иллюстрирует другое значение (2 разных этимологий)
additive	C2	32179	Adjective	аддитивный				Pertaining to addition; that can be, or has been, added.	qualities	пример: слова нет в предложении
escape	A2	2014	Verb	спасаться	совершать побег; спастись; совершить побег	Cave escape!	Выйти из пещеры!	To get free; to free oneself.	actions	перевод примера относится к другому значению
intended	B1	2811	Adjective			We intended to stay.	Мы планировали остаться.	Made tense; stretched out; extended; forcible; violent.	qualities	нет русского перевода в Wiktionary (вынесен на отдельную страницу)
synthesizer	C2	32181	Noun	синтезатор				An electronic musical instrument that creates its sounds with electronics and generally is played via a keyboard.	tech	пример: длина английского предложения
clothing	A2	2016	Noun	одежда		Marco runs a clothing brand.		Any of a wide variety of articles, usually made of fabrics, animal hair, animal skin, or some combination thereof.	animals	пример: слова нет в предложении
major	A1	608	Adjective		music: of a scale → мажорный; music: of an interval → мажорный	I major in sociology.	Я изучаю социологию.	Greater in dignity, rank, importance, significance, or interest. Greater in number, quantity, or extent.	qualities	перевод не привязывается к значению — риск взять чужое
communication	A2	2018	Noun	распространение	передача; сообщение	Communication is important.	Общение важно.	The act or fact of communicating anything; transmission.		перевод примера относится к другому значению; категория не определилась (не определилась)
internet	A1	610	Noun			I love the internet.	Я люблю интернет.	Internet access or connection; internet connectivity.	tech	нет русского перевода в Wiktionary (вынесен на отдельную страницу)
cancellation	C1	12284	Noun	отмена	отказ; расторжение			The act, process, or result of cancelling; as, the cancellation of certain words in a contract, or of the contract itself.		пример: слова нет в предложении; категория не определилась (не определилась)
advance	A2	2022	Verb	повышать	повысить	I advance.	Иду.	To promote or advantage. To help the progress of (something); to further. To raise (someone) in rank or office; to prefer, to promote.	actions	многозначное слово, подтвердить перевод нечем (части речи: Verb/Noun/Adjective)
capacity	B1	2826	Noun	ёмкость	вместимость	The bus was filled to capacity.	Автобус был заполнен до отказа.	The ability to hold, receive, or absorb.		категория не определилась (не определилась)
presidency	C1	12285	Noun	президентство	председательство	After many years as a party leader, she finally ascended to the presidency.		The office or role of president.		пример: слова нет в предложении; категория не определилась (не определилась)
quite	A1	615	Adverb	вполне	весьма; изрядно			To the greatest extent or degree; completely, entirely.	qualities	пример: слова нет в предложении; многозначное слово, подтвердить перевод нечем (2 разных этимологий)
colour	B1	2829	Noun			Colour the picture.	Раскрасьте рисунок.	Commonwealth and Ireland standard spelling of color.	qualities	нет русского перевода в Wiktionary (вынесен на отдельную страницу)
gentle	B2	4702	Adjective	благородный	любезный; нежный; ласковый	She is gentle.	Она добрая.	Tender and amiable; of a considerate or kindly disposition.	qualities	многозначное слово, подтвердить перевод нечем (части речи: Adjective/Verb/Noun)
socio	C1	12286	Noun					At an institute of education, a class where sociology is taught.	school	нет русского перевода в Wiktionary; пример: длина английского предложения
electrolyte	C2	32189	Noun	электролит				A substance that, in solution or when molten, ionizes and conducts electricity.	objects	пример: нет предложений в Tatoeba
crew	A2	2024	Noun	команда	компания	The crew is tense.	Экипаж напряжён.	A group of people together Any company of people; an assemblage; a throng. A group of people.	society	пример иллюстрирует другое значение (5 разных этимологий)
dragon	B1	2830	Noun	дракон	змей; смок; змий			A mythical reptilian or serpentine creature.	animals	пример: не для детей (в переводе): рак; многозначное слово, подтвердить перевод нечем (2 разных этимологий)
stash	C1	12287	Noun	тайник	загашник; нычка; занычка	I had some cash stashed away.	У меня были кое-какие сбережения.	A collection, sometimes hidden.		многозначное слово, подтвердить перевод нечем (2 разных этимологий); категория не определилась (не определилась)
actual	A2	2025	Adjective		existing in act or reality, not just pot → реальный/действительный/настоящий; factual, real, not just apparent or even → истинный/подлинный/фактический; in action at the time being → текущий/действительный/настоящий; emphasise a noun → настоящий			Relating to a person's acts or deeds; active, practical.	qualities	перевод не привязывается к значению — риск взять чужое; пример: слова нет в предложении
dod	C1	12288	Noun					A ground signal, such as a shunting disc.		нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba; категория не определилась (не определилась)
firestone	C2	32191	Noun					Iron pyrite, formerly used for striking fire.	objects	нет русского перевода в Wiktionary; пример: нет предложений в Tatoeba
reason	A1	620	Noun	причина		For what reason?	Почему?	That which causes something: an efficient cause, a proximate cause.	mind	многозначное слово, подтвердить перевод нечем (2 разных этимологий)
radio	A1	622	Noun	радио	радиовещание	send a message by radio		The technology that allows for the transmission of sound or other signals by modulation of electromagnetic waves.	tech	пример: не для детей (в переводе): ад
noise	A2	2032	Noun	шум		She made noise.	Она подняла шум.	Various sounds, usually unwanted or unpleasant.		категория не определилась (не определилась)
functional	B2	4706	Adjective	функционировать	действовать; рабочий; работать			In good working order.	qualities	пример: слова нет в предложении
six	A1	623	Noun	шестёрка		Wait till six.	Подожди до шести.	NATO & ICAO radiotelephony clear code (spelling-alphabet name) for the digit 6.		категория не определилась (не определилась)
steel	A2	2034	Noun	сталь		He has nerves of steel.	У него стальные нервы.	An artificial metal produced from iron, harder and more elastic than elemental iron; used figuratively as a symbol of hardness.		категория не определилась (не определилась)
skipper	C1	12291	Noun	шкипер	капитан			The master of a ship.		пример: нет предложений в Tatoeba; многозначное слово, подтвердить перевод нечем (4 разных этимологий); категория не определилась (не определилась)
minor	B1	2841	Adjective	незначительный	второстепенный	I'm a minor.	Я несовершеннолетний.	Lesser, smaller in importance, size, degree, seriousness, or significance compared to another option, particularly.	qualities	многозначное слово, подтвердить перевод нечем (части речи: Adjective/Noun/Verb)
beta	B2	4709	Noun	бета		Take part in the beta test!	Примите участие в бета-тесте!	The second letter of the Greek alphabet (Β, β), preceded by alpha (Α, α) and followed by gamma, (Γ, γ).		категория не определилась (не определилась)
